id;teacher_id;class_id;subject;academic_year;semester;created_at
c2ff2c69-ae6f-4a99-a6a6-ff8cc5959ec0;G-10;9E;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
c3dc3327-48bc-4eea-adda-8adbf4fcd9cc;G-09;9C;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
c49cca28-8d3a-4436-8ecf-3782d2d4c776;G-24;9B;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
c62f92d1-268f-4134-96ef-e5516fab9c9b;G-08;9D;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
c74d0dbd-31d5-4a93-a8d6-b48767be2b6b;G-02;7E;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
c888d6c9-34d6-4d73-b20f-12686fc0dbc0;G-02;7B;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
c8c0a4b9-8da5-4148-b3f9-4cddb33ba4bd;G-22;7E;SENI TARI;2025/2026;1;2025-09-20 05:45:42.601363+00
c99cc6a5-53bd-48b8-b8ef-d1b237dee400;G-07;8C;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
cab85a5e-f327-4982-8e1f-9104e81c58c5;G-03;9F;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
cab8b85d-849a-4efb-a9fd-00a023ae7e6a;G-16;8C;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
cb65bb60-b60b-42e1-a769-11b986374ef4;G-24;9D;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
cc10084d-c6df-47e5-b7f1-b037616f8327;G-28;9C;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
cc7e81e6-8f95-4018-922a-a87e5a4eaa42;G-10;9D;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
ce1ee5bd-0065-4b59-87e5-4afe2bb3b981;G-07;7B;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
cf384b5e-b4ce-4f87-baab-6b32c837ea3d;G-02;8F;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
d0e32087-a0a0-44c7-b7ab-a95f45b2dc57;G-11;9B;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
d13db202-93cc-4ba9-bcbd-92818fe8f161;G-12;7D;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
d1614ccd-d7f7-4409-ac87-a45cb98934c8;G-17;9C;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
d2dc9d31-c4ff-47a6-94fc-1e5c2891ab8a;G-28;8F;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
d380a511-4649-4882-b443-3f6778b7b686;G-02;7A;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
d3833173-61a3-4dc5-abd1-53443c972499;G-11;9F;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
d468b069-442d-4e9a-935d-446f448fe1e8;G-26;9B;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
d5c17dd8-3c27-43c0-b02d-238aac12ed79;G-07;7C;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
d6039449-5fb5-4bf9-8542-01977d26d9bf;G-13;7F;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
d6166fad-651e-418f-8abe-430f53a740fe;G-27;7A;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
d679654b-bb1e-458e-a321-c78d2bff2ac3;G-29;8A;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
d79cc445-caee-4cee-a59f-7fca06e6085c;G-21;8F;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
d7ac6ae9-8296-40b6-90f4-d29fc2adf4e3;G-21;8D;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
d9cb2d5a-83f6-4bd4-9fca-485d3f6c64e8;G-04;7A;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
db2dbda3-d5c1-4382-8a03-14a85257b68c;G-29;8B;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
dd44c915-aed5-463f-996a-7b59281bb81a;G-04;7E;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
dd9c040a-307f-4cd1-827c-d25634f6b893;G-28;9D;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
e41c4ee5-c4bc-428a-a0af-65cf0b8821c3;G-10;9B;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
